plot_id,land_type,year,slot,crop_id,crop_name,crop_type,area,yield_jin_per_mu,cost_yuan_per_mu,price_yuan_per_jin
A1,平旱地,2024,单季,7,玉米,粮食,80.0,1000.0,500.0,3.0
A2,平旱地,2024,单季,5,爬豆,粮食（豆类）,14.10722891566265,415.0,350.0,6.75
A2,平旱地,2024,单季,6,小麦,粮食,29.192771084337345,800.0,450.0,3.5
A2,平旱地,2024,单季,12,南瓜,粮食,11.7,3000.0,1000.0,1.5
A3,平旱地,2024,单季,4,绿豆,粮食（豆类）,35.0,350.0,350.0,7.0
A4,平旱地,2024,单季,6,小麦,粮食,72.0,800.0,450.0,3.5
A5,平旱地,2024,单季,6,小麦,粮食,68.0,800.0,450.0,3.5
A6,平旱地,2024,单季,3,红豆,粮食（豆类）,21.39857142857143,400.0,350.0,8.25
A6,平旱地,2024,单季,4,绿豆,粮食（豆类）,28.10142857142857,350.0,350.0,7.0
A6,平旱地,2024,单季,5,爬豆,粮食（豆类）,5.5,415.0,350.0,6.75
B1,梯田,2024,单季,8,谷子,粮食,60.0,380.0,360.0,6.75
B10,梯田,2024,单季,7,玉米,粮食,25.0,950.0,500.0,3.0
B11,梯田,2024,单季,8,谷子,粮食,42.85714285714286,380.0,360.0,6.75
B11,梯田,2024,单季,13,红薯,粮食,17.142857142857142,2100.0,2000.0,3.25
B12,梯田,2024,单季,1,黄豆,粮食（豆类）,11.998496240601504,380.0,400.0,3.25
B12,梯田,2024,单季,3,红豆,粮食（豆类）,33.001503759398496,380.0,350.0,8.25
B13,梯田,2024,单季,1,黄豆,粮食（豆类）,28.0,380.0,400.0,3.25
B13,梯田,2024,单季,2,黑豆,粮食（豆类）,3.5,475.0,400.0,7.5
B13,梯田,2024,单季,4,绿豆,粮食（豆类）,3.5,330.0,350.0,7.0
B14,梯田,2024,单季,3,红豆,粮食（豆类）,2.0,380.0,350.0,8.25
B14,梯田,2024,单季,14,莜麦,粮食,18.0,400.0,400.0,5.5
B2,梯田,2024,单季,6,小麦,粮食,6.867759760847897,760.0,450.0,3.5
B2,梯田,2024,单季,10,黍子,粮食,25.0,500.0,360.0,7.5
B2,梯田,2024,单季,15,大麦,粮食,14.132240239152104,500.0,350.0,3.5
B3,梯田,2024,单季,6,小麦,粮食,36.0,760.0,450.0,3.5
B3,梯田,2024,单季,8,谷子,粮食,4.0,380.0,360.0,6.75
B4,梯田,2024,单季,7,玉米,粮食,2.8000000000000003,950.0,500.0,3.0
B4,梯田,2024,单季,8,谷子,粮食,10.914285714285713,380.0,360.0,6.75
B4,梯田,2024,单季,11,荞麦,粮食,14.285714285714286,105.0,350.0,40.0
B5,梯田,2024,单季,9,高粱,粮食,25.0,600.0,400.0,6.0
B6,梯田,2024,单季,1,黄豆,粮食（豆类）,77.4,380.0,400.0,3.25
B6,梯田,2024,单季,7,玉米,粮食,8.599999999999994,950.0,500.0,3.0
B7,梯田,2024,单季,8,谷子,粮食,55.0,380.0,360.0,6.75
B8,梯田,2024,单季,2,黑豆,粮食（豆类）,35.2,475.0,400.0,7.5
B8,梯田,2024,单季,4,绿豆,粮食（豆类）,4.4,330.0,350.0,7.0
B8,梯田,2024,单季,5,爬豆,粮食（豆类）,4.4,395.0,350.0,6.75
B9,梯田,2024,单季,1,黄豆,粮食（豆类）,32.60150375939848,380.0,400.0,3.25
B9,梯田,2024,单季,7,玉米,粮食,16.568421052631585,950.0,500.0,3.0
C1,山坡地,2024,单季,3,红豆,粮食（豆类）,1.5,360.0,350.0,8.25
C1,山坡地,2024,单季,4,绿豆,粮食（豆类）,13.5,315.0,350.0,7.0
C2,山坡地,2024,单季,4,绿豆,粮食（豆类）,13.0,315.0,350.0,7.0
C4,山坡地,2024,单季,6,小麦,粮食,4.036507936507945,720.0,450.0,3.5
C4,山坡地,2024,单季,8,谷子,粮食,13.963492063492055,360.0,360.0,6.75
C5,山坡地,2024,单季,2,黑豆,粮食（豆类）,7.705555555555556,450.0,400.0,7.5
C5,山坡地,2024,单季,7,玉米,粮食,2.7,900.0,500.0,3.0
C6,山坡地,2024,单季,8,谷子,粮食,2.0,360.0,360.0,6.75
C6,山坡地,2024,单季,9,高粱,粮食,18.0,570.0,400.0,6.0
D1,水浇地,2024,第一季,22,茄子,蔬菜,4.9875,6400.0,2000.0,5.5
D1,水浇地,2024,第二季,35,大白菜,蔬菜,15.0,5000.0,2000.0,2.5
D2,水浇地,2024,第一季,21,西红柿,蔬菜,10.0,2400.0,2000.0,6.25
D3,水浇地,2024,第一季,17,豇豆,蔬菜（豆类）,3.752,3000.0,2000.0,8.0
D3,水浇地,2024,第一季,18,刀豆,蔬菜（豆类）,10.248000000000001,2000.0,1000.0,6.75
D3,水浇地,2024,第二季,36,白萝卜,蔬菜,3.8,4000.0,500.0,2.5
D4,水浇地,2024,第一季,17,豇豆,蔬菜（豆类）,6.0,3000.0,2000.0,8.0
D4,水浇地,2024,第二季,37,红萝卜,蔬菜,6.0,3000.0,500.0,3.25
D5,水浇地,2024,第一季,21,西红柿,蔬菜,2.5375,2400.0,2000.0,6.25
D5,水浇地,2024,第一季,25,菜花,蔬菜,1.0909090909090908,3300.0,2400.0,5.5
D5,水浇地,2024,第一季,27,油麦菜,蔬菜,1.0975609756097562,4100.0,1600.0,5.0
D5,水浇地,2024,第一季,28,小青菜,蔬菜,5.274029933481154,3200.0,1600.0,5.75
D5,水浇地,2024,第二季,35,大白菜,蔬菜,4.0,5000.0,2000.0,2.5
D5,水浇地,2024,第二季,37,红萝卜,蔬菜,6.0,3000.0,500.0,3.25
D6,水浇地,2024,第一季,21,西红柿,蔬菜,1.2000000000000002,2400.0,2000.0,6.25
D6,水浇地,2024,第一季,28,小青菜,蔬菜,5.813470066518846,3200.0,1600.0,5.75
D6,水浇地,2024,第二季,36,白萝卜,蔬菜,1.2000000000000002,4000.0,500.0,2.5
D7,水浇地,2024,第一季,17,豇豆,蔬菜（豆类）,2.2,3000.0,2000.0,8.0
D7,水浇地,2024,第一季,18,刀豆,蔬菜（豆类）,19.8,2000.0,1000.0,6.75
D7,水浇地,2024,第二季,35,大白菜,蔬菜,11.0,5000.0,2000.0,2.5
D8,水浇地,2024,第一季,19,芸豆,蔬菜（豆类）,5.206570715717411,3000.0,2000.0,6.5
D8,水浇地,2024,第一季,20,土豆,蔬菜,14.136,2000.0,2000.0,3.75
D8,水浇地,2024,第二季,36,白萝卜,蔬菜,20.0,4000.0,500.0,2.5
E1,普通大棚,2024,第一季,19,芸豆,蔬菜（豆类）,0.06,3600.0,2400.0,6.5
E1,普通大棚,2024,第一季,30,生菜,蔬菜,0.51,5000.0,2000.0,5.25
E1,普通大棚,2024,第二季,41,羊肚菌,食用菌,0.6,1000.0,10000.0,100.0
E10,普通大棚,2024,第一季,19,芸豆,蔬菜（豆类）,0.06,3600.0,2400.0,6.5
E10,普通大棚,2024,第一季,32,空心菜,蔬菜,0.3,12000.0,5000.0,4.5
E10,普通大棚,2024,第二季,39,香菇,食用菌,0.54,4000.0,2000.0,19.0
E10,普通大棚,2024,第二季,40,白灵菇,食用菌,0.05999999999999994,10000.0,10000.0,16.0
E11,普通大棚,2024,第一季,19,芸豆,蔬菜（豆类）,0.06,3600.0,2400.0,6.5
E11,普通大棚,2024,第一季,31,辣椒,蔬菜,0.54,2000.0,1200.0,7.25
E11,普通大棚,2024,第二季,38,榆黄菇,食用菌,0.6,5000.0,3000.0,57.5
E12,普通大棚,2024,第二季,39,香菇,食用菌,0.6,4000.0,2000.0,19.0
E13,普通大棚,2024,第一季,23,菠菜,蔬菜,0.2727272727272727,3300.0,2700.0,5.75
E13,普通大棚,2024,第一季,24,青椒,蔬菜,0.21,3000.0,2000.0,5.25
E13,普通大棚,2024,第二季,38,榆黄菇,食用菌,0.6,5000.0,3000.0,57.5
E14,普通大棚,2024,第一季,24,青椒,蔬菜,0.06,3000.0,2000.0,5.25
E14,普通大棚,2024,第一季,33,黄心菜,蔬菜,0.24,6000.0,2500.0,4.5
E14,普通大棚,2024,第二季,39,香菇,食用菌,0.06,4000.0,2000.0,19.0
E14,普通大棚,2024,第二季,40,白灵菇,食用菌,0.54,10000.0,10000.0,16.0
E15,普通大棚,2024,第一季,18,刀豆,蔬菜（豆类）,0.6,2400.0,1200.0,6.75
E15,普通大棚,2024,第二季,40,白灵菇,食用菌,0.6,10000.0,10000.0,16.0
E16,普通大棚,2024,第一季,18,刀豆,蔬菜（豆类）,0.6,2400.0,1200.0,6.75
E16,普通大棚,2024,第二季,38,榆黄菇,食用菌,0.06,5000.0,3000.0,57.5
E16,普通大棚,2024,第二季,40,白灵菇,食用菌,0.54,10000.0,10000.0,16.0
E2,普通大棚,2024,第一季,29,黄瓜,蔬菜,0.27,15000.0,3500.0,7.0
E2,普通大棚,2024,第二季,41,羊肚菌,食用菌,0.6,1000.0,10000.0,100.0
E3,普通大棚,2024,第二季,39,香菇,食用菌,0.6,4000.0,2000.0,19.0
E4,普通大棚,2024,第一季,22,茄子,蔬菜,0.54,8000.0,2400.0,5.5
E4,普通大棚,2024,第一季,30,生菜,蔬菜,0.06,5000.0,2000.0,5.25
E4,普通大棚,2024,第二季,38,榆黄菇,食用菌,0.54,5000.0,3000.0,57.5
E4,普通大棚,2024,第二季,40,白灵菇,食用菌,0.06,10000.0,10000.0,16.0
E5,普通大棚,2024,第一季,17,豇豆,蔬菜（豆类）,0.06,3600.0,2400.0,8.0
E5,普通大棚,2024,第一季,18,刀豆,蔬菜（豆类）,0.54,2400.0,1200.0,6.75
E5,普通大棚,2024,第二季,41,羊肚菌,食用菌,0.6,1000.0,10000.0,100.0
E6,普通大棚,2024,第一季,24,青椒,蔬菜,0.54,3000.0,2000.0,5.25
E6,普通大棚,2024,第一季,33,黄心菜,蔬菜,0.06,6000.0,2500.0,4.5
E6,普通大棚,2024,第二季,41,羊肚菌,食用菌,0.6,1000.0,10000.0,100.0
E7,普通大棚,2024,第一季,22,茄子,蔬菜,0.6,8000.0,2400.0,5.5
E7,普通大棚,2024,第二季,41,羊肚菌,食用菌,0.6,1000.0,10000.0,100.0
E8,普通大棚,2024,第一季,20,土豆,蔬菜,0.06,2400.0,2400.0,3.75
E8,普通大棚,2024,第一季,21,西红柿,蔬菜,0.48000000000000004,3000.0,2400.0,6.25
E8,普通大棚,2024,第一季,24,青椒,蔬菜,0.06,3000.0,2000.0,5.25
E8,普通大棚,2024,第二季,41,羊肚菌,食用菌,0.6,1000.0,10000.0,100.0
E9,普通大棚,2024,第一季,17,豇豆,蔬菜（豆类）,0.06,3600.0,2400.0,8.0
E9,普通大棚,2024,第一季,22,茄子,蔬菜,0.54,8000.0,2400.0,5.5
E9,普通大棚,2024,第二季,41,羊肚菌,食用菌,0.6,1000.0,10000.0,100.0
F1,智慧大棚,2024,第一季,29,黄瓜,蔬菜,0.06,15000.0,3500.0,7.0
F1,智慧大棚,2024,第二季,17,豇豆,蔬菜（豆类）,0.06,3200.0,2640.0,9.600000000000001
F1,智慧大棚,2024,第二季,26,包菜,蔬菜,0.54,4100.0,3850.0,7.8
F2,智慧大棚,2024,第一季,20,土豆,蔬菜,0.6,2400.0,2400.0,3.75
F3,智慧大棚,2024,第一季,20,土豆,蔬菜,0.06,2400.0,2400.0,3.75
F4,智慧大棚,2024,第一季,21,西红柿,蔬菜,0.6,3000.0,2400.0,6.25
F4,智慧大棚,2024,第二季,29,黄瓜,蔬菜,0.6,13500.0,3850.0,8.4
A1,平旱地,2025,单季,2,黑豆,粮食（豆类）,20.263636363636365,500.0,400.0,7.5
A1,平旱地,2025,单季,4,绿豆,粮食（豆类）,59.736363636363635,350.0,350.0,7.0
A2,平旱地,2025,单季,3,红豆,粮食（豆类）,40.89277108433735,400.0,350.0,8.25
A2,平旱地,2025,单季,10,黍子,粮食,14.10722891566265,525.0,360.0,7.5
A3,平旱地,2025,单季,8,谷子,粮食,25.297705106138842,400.0,360.0,6.75
A3,平旱地,2025,单季,10,黍子,粮食,9.702294893861158,525.0,360.0,7.5
A4,平旱地,2025,单季,7,玉米,粮食,64.8,1000.0,500.0,3.0
A4,平旱地,2025,单季,12,南瓜,粮食,7.2,3000.0,1000.0,1.5
A5,平旱地,2025,单季,3,红豆,粮食（豆类）,13.65114640917891,400.0,350.0,8.25
A5,平旱地,2025,单季,11,荞麦,粮食,13.636363636363637,110.0,350.0,40.0
A5,平旱地,2025,单季,14,莜麦,粮食,33.333333333333336,420.0,400.0,5.5
A6,平旱地,2025,单季,2,黑豆,粮食（豆类）,6.336363636363636,500.0,400.0,7.5
A6,平旱地,2025,单季,7,玉米,粮食,48.663636363636364,1000.0,500.0,3.0
B1,梯田,2025,单季,1,黄豆,粮食（豆类）,60.0,380.0,400.0,3.25
B10,梯田,2025,单季,1,黄豆,粮食（豆类）,15.754219409282701,380.0,400.0,3.25
B10,梯田,2025,单季,5,爬豆,粮食（豆类）,9.245780590717299,395.0,350.0,6.75
B11,梯田,2025,单季,6,小麦,粮食,60.0,760.0,450.0,3.5
B12,梯田,2025,单季,8,谷子,粮食,45.0,380.0,360.0,6.75
B13,梯田,2025,单季,6,小麦,粮食,35.0,760.0,450.0,3.5
B14,梯田,2025,单季,2,黑豆,粮食（豆类）,18.0,475.0,400.0,7.5
B14,梯田,2025,单季,13,红薯,粮食,1.9999999999999996,2100.0,2000.0,3.25
