policy,committed_year,window_start,window_end,stage,attempt,time_limit_seconds,runtime_seconds,status,message,mip_gap,mip_node_count,has_incumbent
m1_zero_price_profit,2024,2024,2026,pure_profit,1,60.0,6.7003938000125345,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.04282485599754675,1,True
m1_zero_price_profit,2025,2025,2027,pure_profit,1,60.0,6.367420499998843,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.02182917708193131,1,True
m1_zero_price_profit,2026,2026,2028,pure_profit,1,60.0,7.567275099994731,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.042029013400988094,1,True
m1_zero_price_profit,2027,2027,2029,pure_profit,1,60.0,5.302256800001487,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.022238484557587136,1,True
m1_zero_price_profit,2028,2028,2030,pure_profit,1,60.0,6.02541430000565,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.04676543744385314,1,True
m1_zero_price_profit,2029,2029,2030,pure_profit,1,60.0,3.2890810999961104,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.006314243287565928,1,True
m1_zero_price_profit,2030,2030,2030,pure_profit,1,60.0,0.6102744000090752,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.01049173566413695,1,True
m1_eta_01,2024,2024,2026,pure_profit,1,60.0,6.742864400002873,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.04282485599754675,1,True
m1_eta_01,2024,2024,2026,minimum_waste,1,60.0,60.344857000003685,1,Time limit reached. (HiGHS Status 13: Time limit reached),0.08951166211693735,883,True
m1_eta_01,2024,2024,2026,minimum_waste,2,180.0,73.75121489999583,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.04965753688014081,1102,True
m1_eta_01,2025,2025,2027,pure_profit,1,60.0,6.765784800008987,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.035487416350190835,1,True
m1_eta_01,2025,2025,2027,minimum_waste,1,60.0,28.67817999998806,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.02808302885744811,1,True
m1_eta_01,2026,2026,2028,pure_profit,1,60.0,6.3853919999965,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.04441657574126988,1,True
m1_eta_01,2026,2026,2028,minimum_waste,1,60.0,19.330666000008932,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.04720865851070999,1,True
m1_eta_01,2027,2027,2029,pure_profit,1,60.0,6.086454200005392,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.042241434542574854,1,True
m1_eta_01,2027,2027,2029,minimum_waste,1,60.0,14.198418599989964,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.03314292625745668,1,True
m1_eta_01,2028,2028,2030,pure_profit,1,60.0,8.064918799995212,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.03731851143721423,1,True
