crop_id,crop_name,crop_type,yield_jin_per_mu,cost_yuan_per_mu,price_low,price_high,gross_margin,records,price_mid
38,榆黄菇,食用菌,5000.0,3000.0,50.0,65.0,284500.0,1,57.5
40,白灵菇,食用菌,10000.0,10000.0,14.0,18.0,150000.0,1,16.0
29,黄瓜,蔬菜,13500.0,3500.0,6.0,8.0,101500.0,3,7.0
41,羊肚菌,食用菌,1000.0,10000.0,80.0,120.0,90000.0,1,100.0
39,香菇,食用菌,4000.0,2000.0,18.0,20.0,74000.0,1,19.0
32,空心菜,蔬菜,11000.0,5000.0,3.0,6.0,49000.0,3,4.5
22,茄子,蔬菜,7200.0,2400.0,5.0,6.0,41600.0,3,5.5
17,豇豆,蔬菜（豆类）,3200.0,2400.0,7.0,9.0,26400.0,3,8.0
26,包菜,蔬菜,4100.0,3500.0,5.5,7.5,25750.0,3,6.5
34,芹菜,蔬菜,6000.0,1100.0,3.2,4.8,25300.0,3,4.0
33,黄心菜,蔬菜,5400.0,2500.0,4.0,5.0,24500.0,3,4.5
30,生菜,蔬菜,4500.0,2000.0,4.5,6.0,24250.0,3,5.25
27,油麦菜,蔬菜,4500.0,2000.0,4.0,6.0,23000.0,3,5.0
19,芸豆,蔬菜（豆类）,3200.0,2400.0,5.0,8.0,21000.0,3,6.5
28,小青菜,蔬菜,3600.0,2000.0,5.0,6.5,21000.0,3,5.75
25,菜花,蔬菜,3600.0,3000.0,5.0,6.0,19000.0,3,5.5
21,西红柿,蔬菜,2700.0,2400.0,5.0,7.5,16350.0,3,6.25
23,菠菜,蔬菜,3000.0,2700.0,4.8,6.7,16275.0,3,5.75
18,刀豆,蔬菜（豆类）,2200.0,1200.0,5.5,8.0,15000.0,3,6.75
24,青椒,蔬菜,2700.0,2000.0,4.0,6.5,13750.0,3,5.25
31,辣椒,蔬菜,1800.0,1200.0,6.0,8.5,13300.0,3,7.25
35,大白菜,蔬菜,5000.0,2000.0,2.0,3.0,10500.0,1,2.5
36,白萝卜,蔬菜,4000.0,500.0,2.0,3.0,9500.0,1,2.5
37,红萝卜,蔬菜,3000.0,500.0,2.5,4.0,9250.0,1,3.25
20,土豆,蔬菜,2200.0,2400.0,3.0,4.5,6600.0,3,3.75
13,红薯,粮食,2100.0,2000.0,2.5,4.0,4825.0,3,3.25
11,荞麦,粮食,105.0,350.0,30.0,50.0,3850.0,3,40.0
10,黍子,粮食,500.0,360.0,6.5,8.5,3390.0,3,7.5
12,南瓜,粮食,2850.0,1000.0,1.0,2.0,3275.0,3,1.5
9,高粱,粮食,600.0,400.0,5.5,6.5,3200.0,3,6.0
2,黑豆,粮食（豆类）,475.0,400.0,6.5,8.5,3162.5,3,7.5
16,水稻,粮食,500.0,680.0,6.0,8.0,2820.0,1,7.0
3,红豆,粮食（豆类）,380.0,350.0,7.5,9.0,2785.0,3,8.25
7,玉米,粮食,950.0,500.0,2.5,3.5,2350.0,3,3.0
5,爬豆,粮食（豆类）,395.0,350.0,6.0,7.5,2316.25,3,6.75
6,小麦,粮食,760.0,450.0,3.0,4.0,2210.0,3,3.5
8,谷子,粮食,380.0,360.0,6.0,7.5,2205.0,3,6.75
4,绿豆,粮食（豆类）,330.0,350.0,6.0,8.0,1960.0,3,7.0
14,莜麦,粮食,400.0,400.0,5.0,6.0,1800.0,3,5.5
15,大麦,粮食,500.0,350.0,3.0,4.0,1400.0,3,3.5
1,黄豆,粮食（豆类）,380.0,400.0,2.5,4.0,835.0,3,3.25
