plot_id,land_type,year,slot,crop_id,crop_name,crop_type,area,yield_jin_per_mu,cost_yuan_per_mu,price_yuan_per_jin
A1,平旱地,2024,单季,2,黑豆,粮食（豆类）,80.0,500.0,400.0,7.5
A2,平旱地,2024,单季,1,黄豆,粮食（豆类）,55.0,400.0,400.0,3.25
A3,平旱地,2024,单季,4,绿豆,粮食（豆类）,35.0,350.0,350.0,7.0
A4,平旱地,2024,单季,2,黑豆,粮食（豆类）,72.0,500.0,400.0,7.5
A5,平旱地,2024,单季,1,黄豆,粮食（豆类）,68.0,400.0,400.0,3.25
A6,平旱地,2024,单季,1,黄豆,粮食（豆类）,55.0,400.0,400.0,3.25
B1,梯田,2024,单季,1,黄豆,粮食（豆类）,60.0,380.0,400.0,3.25
B10,梯田,2024,单季,1,黄豆,粮食（豆类）,25.0,380.0,400.0,3.25
B11,梯田,2024,单季,5,爬豆,粮食（豆类）,60.0,395.0,350.0,6.75
B12,梯田,2024,单季,5,爬豆,粮食（豆类）,45.0,395.0,350.0,6.75
B13,梯田,2024,单季,1,黄豆,粮食（豆类）,35.0,380.0,400.0,3.25
B14,梯田,2024,单季,1,黄豆,粮食（豆类）,20.0,380.0,400.0,3.25
B2,梯田,2024,单季,1,黄豆,粮食（豆类）,46.0,380.0,400.0,3.25
B3,梯田,2024,单季,1,黄豆,粮食（豆类）,40.0,380.0,400.0,3.25
B4,梯田,2024,单季,3,红豆,粮食（豆类）,28.0,380.0,350.0,8.25
B5,梯田,2024,单季,1,黄豆,粮食（豆类）,25.0,380.0,400.0,3.25
B6,梯田,2024,单季,1,黄豆,粮食（豆类）,86.0,380.0,400.0,3.25
B7,梯田,2024,单季,4,绿豆,粮食（豆类）,55.0,330.0,350.0,7.0
B8,梯田,2024,单季,1,黄豆,粮食（豆类）,44.0,380.0,400.0,3.25
B9,梯田,2024,单季,1,黄豆,粮食（豆类）,50.0,380.0,400.0,3.25
C1,山坡地,2024,单季,3,红豆,粮食（豆类）,15.0,360.0,350.0,8.25
C2,山坡地,2024,单季,1,黄豆,粮食（豆类）,13.0,360.0,400.0,3.25
C3,山坡地,2024,单季,5,爬豆,粮食（豆类）,15.0,375.0,350.0,6.75
C4,山坡地,2024,单季,2,黑豆,粮食（豆类）,18.0,450.0,400.0,7.5
C5,山坡地,2024,单季,1,黄豆,粮食（豆类）,27.0,360.0,400.0,3.25
C6,山坡地,2024,单季,1,黄豆,粮食（豆类）,20.0,360.0,400.0,3.25
D1,水浇地,2024,第一季,17,豇豆,蔬菜（豆类）,15.0,3000.0,2000.0,8.0
D1,水浇地,2024,第二季,35,大白菜,蔬菜,15.0,5000.0,2000.0,2.5
D2,水浇地,2024,第一季,17,豇豆,蔬菜（豆类）,10.0,3000.0,2000.0,8.0
D2,水浇地,2024,第二季,37,红萝卜,蔬菜,10.0,3000.0,500.0,3.25
D3,水浇地,2024,第一季,18,刀豆,蔬菜（豆类）,14.0,2000.0,1000.0,6.75
D3,水浇地,2024,第二季,36,白萝卜,蔬菜,14.0,4000.0,500.0,2.5
D4,水浇地,2024,第一季,17,豇豆,蔬菜（豆类）,6.0,3000.0,2000.0,8.0
D4,水浇地,2024,第二季,37,红萝卜,蔬菜,6.0,3000.0,500.0,3.25
D5,水浇地,2024,第一季,18,刀豆,蔬菜（豆类）,10.0,2000.0,1000.0,6.75
D5,水浇地,2024,第二季,37,红萝卜,蔬菜,10.0,3000.0,500.0,3.25
D6,水浇地,2024,第一季,17,豇豆,蔬菜（豆类）,12.0,3000.0,2000.0,8.0
D6,水浇地,2024,第二季,36,白萝卜,蔬菜,12.0,4000.0,500.0,2.5
D7,水浇地,2024,第一季,17,豇豆,蔬菜（豆类）,22.0,3000.0,2000.0,8.0
D7,水浇地,2024,第二季,35,大白菜,蔬菜,22.0,5000.0,2000.0,2.5
D8,水浇地,2024,第一季,19,芸豆,蔬菜（豆类）,20.0,3000.0,2000.0,6.5
D8,水浇地,2024,第二季,36,白萝卜,蔬菜,20.0,4000.0,500.0,2.5
E1,普通大棚,2024,第一季,19,芸豆,蔬菜（豆类）,0.6,3600.0,2400.0,6.5
E10,普通大棚,2024,第一季,18,刀豆,蔬菜（豆类）,0.6,2400.0,1200.0,6.75
E11,普通大棚,2024,第一季,18,刀豆,蔬菜（豆类）,0.6,2400.0,1200.0,6.75
E12,普通大棚,2024,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2400.0,8.0
E13,普通大棚,2024,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2400.0,8.0
E14,普通大棚,2024,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2400.0,8.0
E15,普通大棚,2024,第一季,18,刀豆,蔬菜（豆类）,0.6,2400.0,1200.0,6.75
E16,普通大棚,2024,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2400.0,8.0
E2,普通大棚,2024,第一季,18,刀豆,蔬菜（豆类）,0.6,2400.0,1200.0,6.75
E3,普通大棚,2024,第一季,19,芸豆,蔬菜（豆类）,0.6,3600.0,2400.0,6.5
E4,普通大棚,2024,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2400.0,8.0
E5,普通大棚,2024,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2400.0,8.0
E6,普通大棚,2024,第一季,18,刀豆,蔬菜（豆类）,0.6,2400.0,1200.0,6.75
E7,普通大棚,2024,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2400.0,8.0
E8,普通大棚,2024,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2400.0,8.0
E9,普通大棚,2024,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2400.0,8.0
F1,智慧大棚,2024,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2400.0,8.0
F2,智慧大棚,2024,第一季,17,豇豆,蔬菜（豆类）,0.6,3600.0,2400.0,8.0
F3,智慧大棚,2024,第一季,18,刀豆,蔬菜（豆类）,0.6,2400.0,1200.0,6.75
F4,智慧大棚,2024,第一季,18,刀豆,蔬菜（豆类）,0.6,2400.0,1200.0,6.75
A1,平旱地,2025,单季,1,黄豆,粮食（豆类）,80.0,400.0,400.0,3.25
A2,平旱地,2025,单季,2,黑豆,粮食（豆类）,55.0,500.0,400.0,7.5
A3,平旱地,2025,单季,1,黄豆,粮食（豆类）,35.0,400.0,400.0,3.25
A4,平旱地,2025,单季,1,黄豆,粮食（豆类）,72.0,400.0,400.0,3.25
A5,平旱地,2025,单季,2,黑豆,粮食（豆类）,68.0,500.0,400.0,7.5
A6,平旱地,2025,单季,2,黑豆,粮食（豆类）,55.0,500.0,400.0,7.5
B1,梯田,2025,单季,2,黑豆,粮食（豆类）,60.0,475.0,400.0,7.5
B10,梯田,2025,单季,3,红豆,粮食（豆类）,25.0,380.0,350.0,8.25
B11,梯田,2025,单季,4,绿豆,粮食（豆类）,60.0,330.0,350.0,7.0
B12,梯田,2025,单季,1,黄豆,粮食（豆类）,45.0,380.0,400.0,3.25
B13,梯田,2025,单季,2,黑豆,粮食（豆类）,35.0,475.0,400.0,7.5
B14,梯田,2025,单季,5,爬豆,粮食（豆类）,20.0,395.0,350.0,6.75
B2,梯田,2025,单季,2,黑豆,粮食（豆类）,46.0,475.0,400.0,7.5
B3,梯田,2025,单季,2,黑豆,粮食（豆类）,40.0,475.0,400.0,7.5
B4,梯田,2025,单季,1,黄豆,粮食（豆类）,28.0,380.0,400.0,3.25
B5,梯田,2025,单季,2,黑豆,粮食（豆类）,25.0,475.0,400.0,7.5
B6,梯田,2025,单季,2,黑豆,粮食（豆类）,86.0,475.0,400.0,7.5
B7,梯田,2025,单季,1,黄豆,粮食（豆类）,55.0,380.0,400.0,3.25
B8,梯田,2025,单季,2,黑豆,粮食（豆类）,44.0,475.0,400.0,7.5
B9,梯田,2025,单季,2,黑豆,粮食（豆类）,50.0,475.0,400.0,7.5
C1,山坡地,2025,单季,1,黄豆,粮食（豆类）,15.0,360.0,400.0,3.25
C2,山坡地,2025,单季,2,黑豆,粮食（豆类）,13.0,450.0,400.0,7.5
C3,山坡地,2025,单季,2,黑豆,粮食（豆类）,15.0,450.0,400.0,7.5
C4,山坡地,2025,单季,1,黄豆,粮食（豆类）,18.0,360.0,400.0,3.25
C5,山坡地,2025,单季,2,黑豆,粮食（豆类）,27.0,450.0,400.0,7.5
C6,山坡地,2025,单季,2,黑豆,粮食（豆类）,20.0,450.0,400.0,7.5
D1,水浇地,2025,第一季,18,刀豆,蔬菜（豆类）,15.0,2000.0,1000.0,6.75
D1,水浇地,2025,第二季,36,白萝卜,蔬菜,15.0,4000.0,500.0,2.5
D2,水浇地,2025,第一季,18,刀豆,蔬菜（豆类）,10.0,2000.0,1000.0,6.75
D2,水浇地,2025,第二季,36,白萝卜,蔬菜,10.0,4000.0,500.0,2.5
D3,水浇地,2025,第一季,17,豇豆,蔬菜（豆类）,14.0,3000.0,2000.0,8.0
D3,水浇地,2025,第二季,35,大白菜,蔬菜,14.0,5000.0,2000.0,2.5
D4,水浇地,2025,第一季,18,刀豆,蔬菜（豆类）,6.0,2000.0,1000.0,6.75
D4,水浇地,2025,第二季,36,白萝卜,蔬菜,6.0,4000.0,500.0,2.5
