K,P,beam_width,rule,B,kappa,incumbent,solve_time_seconds,status,message,variables,continuous_variables,binary_integer_variables,constraints,mip_gap,best_bound,node_count,test_seed,n_test,test_mean_profit,test_std_profit,test_Q05,test_CVaR_lower_5pct,test_worst_profit,constraint_violation_count
20,20,50,waste,3028066.7291780817,-3028066.7291780817,True,2.2836549999774434,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),4301,3221,1080,6115,0.036447025322381185,-14316854.535808057,1,3026,2000,13571895.05157251,204337.49201886018,13247381.632473499,13164952.642891627,12840461.634758187,0
20,20,50,half,22680614.443681773,-22680614.443681773,True,3.3928852999815717,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),4301,3221,1080,6115,0.0042341278326853025,-30777893.993440207,1,3026,2000,29829335.967945464,725737.8532450999,28615646.16755152,28335706.87669076,27675652.117239416,0
40,20,50,waste,2854535.952772923,-2854535.952772923,True,4.610606099944562,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),7521,6441,1080,12175,0.03303289290269662,-14358575.705410944,1,3026,2000,13667265.390327232,199479.68936105396,13338659.026101887,13262999.453964114,12974727.735536156,0
40,20,50,half,21926505.657130033,-21926505.657130033,True,8.207288099976722,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),7521,6441,1080,12175,0.004071323407324502,-30256644.15651114,1,3026,2000,29891267.638777304,727015.7567954368,28668431.991009936,28397993.579624977,27739126.581572462,0
60,20,50,waste,2825851.1822930984,-2825851.1822930984,True,35.515095599985216,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),10741,9661,1080,18235,0.0334090365563474,-14218250.34028232,1,3026,2000,13743535.651098007,211437.11857691628,13391684.962885022,13315310.15848392,13000078.520700844,0
60,20,50,half,21620157.397932053,-21620157.397932053,True,14.142655299976468,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),10741,9661,1080,18235,0.0037386562833793538,-30294736.013793908,1,3026,2000,29838297.529069666,725397.3363833955,28605230.477597065,28346929.762261663,27704017.851624493,0
80,20,50,waste,2944492.5652877307,-2944492.5652877307,True,56.36780530004762,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),13961,12881,1080,24295,0.031006121598049042,-14241084.306945937,1,3026,2000,13726276.171532936,200514.3257416837,13398592.616031531,13320710.665972665,13024997.554759076,0
80,20,50,half,21724727.882104877,-21724727.882104877,True,19.918738799984567,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),13961,12881,1080,24295,0.003982214597888229,-30089249.48468653,1,3026,2000,29867739.27212126,721340.3963085772,28657127.91327853,28379510.862195037,27745150.475010663,0
100,20,50,waste,2867606.3984189928,-2867606.3984189928,True,24.292742800025735,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),17181,16101,1080,30355,0.024984898652867026,-14226147.49706698,1,3026,2000,13785059.59629742,203064.18514914115,13445669.452710893,13370963.9582376,13103288.05485343,0
100,20,50,half,21584630.784779526,-21584630.784779526,True,33.41599299997324,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),17181,16101,1080,30355,0.0075756979516048905,-30215603.473524537,1,3026,2000,29726688.576660942,706910.9189820811,28570082.674602605,28262595.269731637,27634796.98775069,0
