plot_id,land_type,year,slot,crop_id,crop_name,crop_type,area,yield_jin_per_mu,cost_yuan_per_mu,price_yuan_per_jin
A1,平旱地,2024,单季,7,玉米,粮食,71.70035458435086,1000.0,500.0,3.0
A1,平旱地,2024,单季,12,南瓜,粮食,8.299645415649143,3000.0,1000.0,1.5
A2,平旱地,2024,单季,4,绿豆,粮食（豆类）,33.41745415819922,350.0,350.0,7.0
A2,平旱地,2024,单季,6,小麦,粮食,21.582545841800776,800.0,450.0,3.5
A3,平旱地,2024,单季,2,黑豆,粮食（豆类）,14.493797778329787,500.0,400.0,7.5
A3,平旱地,2024,单季,12,南瓜,粮食,3.5,3000.0,1000.0,1.5
A3,平旱地,2024,单季,13,红薯,粮食,17.006202221670215,2200.0,2000.0,3.25
A4,平旱地,2024,单季,6,小麦,粮食,72.0,800.0,450.0,3.5
A5,平旱地,2024,单季,6,小麦,粮食,68.0,800.0,450.0,3.5
A6,平旱地,2024,单季,7,玉米,粮食,55.0,1000.0,500.0,3.0
B1,梯田,2024,单季,1,黄豆,粮食（豆类）,59.99999999999999,380.0,400.0,3.25
B10,梯田,2024,单季,3,红豆,粮食（豆类）,2.5,380.0,350.0,8.25
B10,梯田,2024,单季,9,高粱,粮食,22.5,600.0,400.0,6.0
B11,梯田,2024,单季,6,小麦,粮食,60.0,760.0,450.0,3.5
B12,梯田,2024,单季,3,红豆,粮食（豆类）,32.720522324386735,380.0,350.0,8.25
B12,梯田,2024,单季,5,爬豆,粮食（豆类）,12.279477675613265,395.0,350.0,6.75
B13,梯田,2024,单季,2,黑豆,粮食（豆类）,29.774524413952648,475.0,400.0,7.5
B13,梯田,2024,单季,6,小麦,粮食,5.225475586047352,760.0,450.0,3.5
B14,梯田,2024,单季,7,玉米,粮食,11.013787532989609,950.0,500.0,3.0
B2,梯田,2024,单季,8,谷子,粮食,46.0,380.0,360.0,6.75
B3,梯田,2024,单季,8,谷子,粮食,40.0,380.0,360.0,6.75
B4,梯田,2024,单季,8,谷子,粮食,2.8000000000000114,380.0,360.0,6.75
B4,梯田,2024,单季,9,高粱,粮食,25.19999999999999,600.0,400.0,6.0
B5,梯田,2024,单季,8,谷子,粮食,22.5,380.0,360.0,6.75
B5,梯田,2024,单季,10,黍子,粮食,2.499999999999999,500.0,360.0,7.5
B6,梯田,2024,单季,1,黄豆,粮食（豆类）,58.89280000534962,380.0,400.0,3.25
B6,梯田,2024,单季,3,红豆,粮食（豆类）,27.107199994650372,380.0,350.0,8.25
B7,梯田,2024,单季,8,谷子,粮食,55.0,380.0,360.0,6.75
B8,梯田,2024,单季,1,黄豆,粮食（豆类）,33.91463985177797,380.0,400.0,3.25
B8,梯田,2024,单季,10,黍子,粮食,10.085360148222032,500.0,360.0,7.5
B9,梯田,2024,单季,5,爬豆,粮食（豆类）,11.863008589214276,395.0,350.0,6.75
B9,梯田,2024,单季,14,莜麦,粮食,37.8834816635125,400.0,400.0,5.5
C1,山坡地,2024,单季,10,黍子,粮食,15.0,475.0,360.0,7.5
