scenario,year,revenue_yuan,cost_yuan,profit_yuan,excess_jin,production_jin,excess_rate
0,2024,8736746.03699755,909893.9810865214,7826852.055911028,1020043.7010556674,1887177.538886269,0.5405128452607872
0,2025,10582505.294924201,1007412.6399004782,9575092.655023724,1483195.0446429367,2391583.440311057,0.6201728192473299
0,2026,8506186.78042099,952603.4268066587,7553583.353614332,909706.9338998141,1743086.059696705,0.5218944462547661
0,2027,11716062.861734044,1142492.0590065506,10573570.802727493,1633594.1711933224,2530773.125477147,0.6454921441784032
0,2028,9380658.618083686,1107430.0147557925,8273228.603327893,886180.074210424,1870360.1442763282,0.4738018380696949
0,2029,11958861.968105612,1219579.6843520266,10739282.283753585,1512216.4053371628,2337762.8408066626,0.6468647627298931
0,2030,13076022.779756786,1298879.7035981826,11777143.076158604,1589592.4866641099,2553447.0408752086,0.6225280811460526
1,2024,8975038.178181918,906131.8783686996,8068906.299813218,1054221.3300708975,1927823.6629258692,0.5468453107743784
1,2025,11166657.846302677,1002377.4135692752,10164280.432733402,1617880.3031843984,2525873.611429584,0.6405230633328153
1,2026,8355993.080038263,950797.5577372469,7405195.522301016,866565.1601948027,1659610.2791509058,0.5221497908762996
1,2027,12472930.121371182,1138849.7028422307,11334080.418528952,1779948.0523550713,2655357.9330983404,0.6703232096014197
1,2028,9333004.023535198,1104003.5604880177,8229000.46304718,889145.2073565752,1884210.1955601098,0.4718927906513442
1,2029,11677583.360609472,1211356.0163584927,10466227.344250979,1487302.2125964903,2263122.7753186375,0.6571902456273433
1,2030,12847526.60577766,1302591.8011807615,11544934.8045969,1566907.6995381159,2514546.8272385965,0.6231372120672929
2,2024,9055196.875448389,909438.3505176149,8145758.524930774,1045136.2689966911,1924281.8470249828,0.5431305557512346
2,2025,10938820.710211892,1009343.8135900027,9929476.896621889,1545200.65250487,2446598.5703459145,0.6315709782689852
2,2026,8122467.0855018,950952.3166169166,7171514.768884884,834248.0165036718,1642460.1776130025,0.5079258711258922
2,2027,12749862.3794148,1133532.3015661817,11616330.077848619,1853910.2272672236,2744779.4903581645,0.6754313903100857
2,2028,9579330.673764955,1105896.7728102487,8473433.900954707,941183.7292786126,1936300.078875857,0.48607327941908085
2,2029,12596793.504048217,1216397.1021641567,11380396.40188406,1744173.9776974712,2512557.69313423,0.6941826579598827
2,2030,13406348.140915146,1306798.155093935,12099549.985821212,1639150.3309626146,2603928.307931159,0.6294913442778046
3,2024,9013303.292448577,906822.1008756665,8106481.19157291,1031320.5626316606,1923422.2579603142,0.5361904066376567
3,2025,11331545.876246845,1004971.0359319652,10326574.84031488,1602496.3581746218,2517504.954617314,0.6365414913029307
3,2026,8525620.178691205,952212.4902809899,7573407.688410215,869123.5266885313,1719956.285692041,0.505317218768052
3,2027,12200157.791947505,1138815.618486532,11061342.173460972,1601627.5290131813,2520664.6518600904,0.6353988928401412
3,2028,8990538.010126611,1110024.772178636,7880513.237947975,836622.6402874086,1820467.6536699564,0.45956468306417103
3,2029,12624375.804603448,1217273.564191901,11407102.240411548,1699656.8368702268,2496988.113930559,0.6806827903536805
3,2030,12879548.17041203,1305187.3328397665,11574360.837572264,1596389.2494209155,2532149.762624415,0.630448195831181
4,2024,9461549.904486613,904638.4407613605,8556911.463725252,1166822.7360380194,2069717.7842547859,0.5637593419327654
4,2025,11262622.088748569,1004369.0534883683,10258253.0352602,1630766.246760919,2539812.201028456,0.6420814287373556
4,2026,8343163.845657554,953420.5624223457,7389743.283235209,865325.7601652694,1688005.2874852733,0.5126321384066274
4,2027,12762194.041613989,1131786.0745807756,11630407.967033213,1815064.0182212975,2745962.4362566583,0.6609937536857289
4,2028,9254799.889637778,1105371.8961356399,8149427.993502138,904121.5608451146,1884773.8179647033,0.47969764447462543
4,2029,12272507.303258443,1217459.37138789,11055047.931870554,1658306.8541885414,2417884.0511267157,0.6858504457299277
4,2030,13603948.014986858,1301655.3805768138,12302292.634410044,1699346.7800727484,2636624.702636669,0.6445159898461746
5,2024,9085273.70885194,907718.5296935369,8177555.1791584045,1030830.2969946631,1927297.6646874547,0.5348578560965725
5,2025,10355208.909467375,1003169.5870406514,9352039.322426723,1412021.5185052836,2291942.072813226,0.6160808055554865
5,2026,8641569.00433559,950504.1631531571,7691064.841182433,896261.8637798121,1729776.5957525808,0.5181373513669677
5,2027,11886263.062225118,1128764.442709031,10757498.619516088,1654952.089188809,2567859.248453148,0.6444870723291143
5,2028,9607104.758651197,1105192.9522015895,8501911.806449607,942116.0500363746,1958994.433113109,0.48091818644896495
5,2029,12170984.84012584,1210412.0869386161,10960572.753187224,1588102.045198482,2392462.2632370098,0.663793978948606
5,2030,13879750.96105468,1309740.2850016365,12570010.676053043,1779281.643595997,2747200.45489326,0.6476708463071107
6,2024,8712319.41839317,904125.2470782372,7808194.171314933,983864.1086454274,1861111.4066887717,0.5286433177022358
6,2025,10488396.849553628,1008881.438460917,9479515.411092712,1443082.920564073,2337459.9284108737,0.6173722608135385
6,2026,8679558.895885542,948040.7642367904,7731518.131648752,932666.9819011781,1745331.102693406,0.5343782509014368
6,2027,11479936.16482031,1133708.9715246947,10346227.193295615,1570862.2148368314,2450438.734955136,0.641053453991206
6,2028,9119974.283358822,1108291.0538103983,8011683.229548424,861074.7056168227,1823050.4520187061,0.4723263169504358
6,2029,12386450.154646978,1213684.7258645191,11172765.42878246,1661252.3681974139,2456028.521139869,0.6763978324756623
6,2030,13404063.1211986,1307778.0174171552,12096285.103781445,1678779.5761608032,2632504.6431654408,0.6377119145902679
7,2024,9066312.773735443,906868.6452526867,8159444.128482756,1063545.0869405263,1926259.9830335225,0.5521295652239159
7,2025,11270467.158591365,1001485.1720839499,10268981.986507416,1593016.171369521,2484979.8150948887,0.6410579923799872
7,2026,8564250.052096408,953843.3845994578,7610406.66749695,865066.5128498508,1706595.3528770232,0.506896090740842
7,2027,11939741.809962543,1134970.5452960818,10804771.26466646,1602513.2621218662,2524291.15591374,0.6348369356552257
7,2028,9614355.153162643,1101361.5174302773,8512993.635732366,898118.3475812036,1891784.0256093484,0.47474676571069857
7,2029,12646161.473036798,1215711.8083343112,11430449.664702486,1640075.3933814901,2462836.940705859,0.6659293460619596
7,2030,12648006.651370913,1306378.3921970562,11341628.259173857,1542684.869197357,2455526.3363169827,0.6282501826110378
8,2024,9279281.142629731,909503.7512312992,8369777.391398432,1084672.4589037693,1990549.7847310186,0.5449109925428668
8,2025,10657253.507124986,1001355.9258310768,9655897.581293909,1492350.1085546496,2404930.874690057,0.6205376313558206
8,2026,8507274.681898717,951404.1673988884,7555870.514499828,920505.2764364626,1737805.5439864655,0.5296940613532948
8,2027,12107776.405808033,1135047.7011689187,10972728.704639114,1693609.2400083623,2563385.821410304,0.6606922866869044
