scenario,year,revenue_yuan,cost_yuan,profit_yuan,excess_jin,production_jin,excess_rate
0,2024,8375187.836793008,874354.3197491667,7500833.517043842,944788.6369606319,1763706.6369435014,0.5356835525651522
0,2025,10591829.928652357,1010646.9163205746,9581183.012331782,1501267.2009477336,2365116.4198086765,0.6347540393251242
0,2026,9191895.872079507,1050533.8010648133,8141362.071014693,929788.515991853,1946758.8948816117,0.4776084590836793
0,2027,11568281.906566044,1191672.1669478023,10376609.739618242,1454122.6617776442,2458712.8339337944,0.5914162246638354
0,2028,9842234.296799729,1107701.0234857083,8734533.27331402,991003.6274812714,1908211.148590654,0.5193364624314223
0,2029,12149576.007822897,1249861.9991592837,10899714.008663613,1370856.9422629795,2408062.0705845677,0.5692780759302429
0,2030,12678098.080151532,1271352.959855875,11406745.120295657,1538639.4435653954,2418605.6213228186,0.6361679762920011
1,2024,8622047.4478131,870969.7328269357,7751077.714986163,984044.6479865692,1811386.5892172873,0.5432549041956757
1,2025,11188033.466449482,1005668.9248889156,10182364.541560566,1645974.7835271668,2504033.7896645726,0.6573293021527689
1,2026,9007144.72423844,1047587.1673064076,7959557.556932033,854862.2273680494,1835687.2140011503,0.46569057127371466
1,2027,12197003.356915217,1187535.62854741,11009467.728367807,1590410.7643271165,2555750.7855130793,0.6222871077032004
1,2028,9675499.486099854,1105227.7002178852,8570271.785881968,953174.930941658,1889264.3150430545,0.5045217460320982
1,2029,11911853.883684311,1241447.3406594307,10670406.54302488,1347607.8955685243,2338986.549137209,0.5761503400118404
1,2030,12416360.713992465,1276024.2875033251,11140336.42648914,1520352.6380643025,2381301.467383242,0.6384545001498627
2,2024,8715132.303977294,874137.1528511969,7840995.151126097,959164.1252826514,1799241.6216059446,0.53309356217901
2,2025,10920166.494816642,1011603.6282706206,9908562.866546022,1555441.767554684,2411459.574496063,0.6450208761553609
2,2026,8807529.254830608,1047225.7318631642,7760303.522967444,832580.5877160334,1827612.418938731,0.45555642929998325
2,2027,12515446.080322519,1182847.448652599,11332598.63166992,1638824.202579568,2647852.2909235037,0.6189258397068621
2,2028,10062085.160315713,1106887.1344842706,8955198.025831442,1032882.5596870275,1969679.3118891562,0.5243912313301248
2,2029,12721052.479912726,1247077.2339979513,11473975.245914776,1604242.2233625734,2564414.776652166,0.6255782948875789
2,2030,12962376.531412838,1279778.3502017027,11682598.181211136,1562773.8333060828,2452900.2080195346,0.637112683262342
3,2024,8633819.34385806,871195.739820991,7762623.604037069,949789.8263795594,1800800.3063548927,0.5274265131052124
3,2025,11306276.59485215,1007531.8110253813,10298744.783826768,1632555.269052792,2488542.1910299533,0.6560287685446526
3,2026,9247947.57272606,1049562.1774450787,8198385.395280981,884106.848728516,1926485.9377864683,0.4589220359139265
3,2027,11961278.087953044,1187601.0192498513,10773677.068703193,1455135.3084895138,2444720.23109334,0.5952154729127189
3,2028,9359647.41139617,1109833.0267537578,8249814.384642412,943499.5273718438,1845977.6341345727,0.5111110286090618
3,2029,12790260.494812982,1248069.2639365064,11542191.230876476,1577181.9387996423,2571438.9917318495,0.6133460462685989
3,2030,12492459.984989809,1277024.4275602167,11215435.557429593,1550878.5101321102,2404364.005939505,0.6450265044315137
4,2024,9096706.218796955,869125.4350224733,8227580.783774482,1074681.2016668867,1938606.7887176927,0.554357494217661
4,2025,11265568.644216044,1007653.6604064666,10257914.983809577,1659429.5357016497,2517516.2495243642,0.6591534557185745
4,2026,9051545.828774128,1050659.2629491987,8000886.56582493,887951.8683571357,1888367.1246709917,0.4702220541526546
4,2027,12450488.577849861,1181461.787750151,11269026.79009971,1681464.9657423068,2664208.6275369725,0.6311311165210061
4,2028,9642324.493402377,1105248.1817815835,8537076.311620794,938892.6516885662,1886709.7711682622,0.49763491239418245
4,2029,12415706.751241228,1248480.443262488,11167226.30797874,1518714.5454056829,2476199.3864537645,0.6133248209792497
4,2030,13145926.339480434,1275893.7673056293,11870032.572174804,1651588.7862631204,2499629.964994035,0.6607333122873095
5,2024,8744819.787004437,871996.0993500605,7872823.687654377,941144.6249841793,1804731.7511641842,0.5214872650060443
5,2025,10358411.291083377,1006221.6828019277,9352189.608281448,1406608.71981941,2258204.859515372,0.6228880049975974
5,2026,9392017.202487689,1048265.0140066034,8343752.188481085,927092.5837132371,1947531.862787228,0.47603461664879776
5,2027,11777154.179691697,1177849.6356707257,10599304.544020971,1470900.0653391255,2498958.141124063,0.58860532360798
5,2028,9965008.173073176,1106023.3834457533,8858984.789627424,1092951.1622542266,1992352.1111956178,0.5485732949073658
5,2029,12379278.354929077,1241811.5311896247,11137466.823739452,1443286.0418160127,2466930.8236212265,0.5850533091549776
5,2030,13373483.538862228,1282075.0556430595,12091408.48321917,1713193.9886167531,2590391.587422387,0.6613648673564044
6,2024,8350516.877776984,868497.7509805219,7482019.126796463,914937.3521664763,1740841.1677698328,0.5255719873275916
6,2025,10514052.699207405,1011791.809163812,9502260.890043592,1438061.228736152,2305490.525392608,0.6237549939578524
6,2026,9382648.155288035,1045525.555013582,8337122.600274453,943475.2989699697,1935999.604911596,0.4873323819779663
6,2027,11296033.070506338,1183062.414883364,10112970.655622974,1410773.565764694,2377036.5480693635,0.5935009989268061
6,2028,9593819.80164161,1108841.6283807757,8484978.173260834,963086.7969679524,1863535.6229778666,0.5168062177577117
6,2029,12518412.325665228,1244748.7475178407,11273663.578147387,1518320.906791347,2512742.6786983856,0.6042484650986409
6,2030,12975833.623217503,1280983.6471951448,11694849.976022357,1615785.3501355257,2491807.9332445306,0.6484389621601556
7,2024,8693189.14885706,871598.2690383189,7821590.879818742,998857.8290158927,1808357.1756678405,0.5523564937590422
7,2025,11278734.438354755,1004267.1090780185,10274467.329276737,1601290.2028809935,2453359.445434928,0.6526928640075891
7,2026,9259249.52334374,1051814.4711521678,8207435.052191572,866620.7891240272,1899620.199783317,0.45620739831197815
7,2027,11752554.720656037,1184095.4773843305,10568459.243271707,1465711.858334566,2469840.2834660476,0.5934439842715906
7,2028,10012127.580861717,1101654.026417966,8910473.55444375,1000943.7649364651,1913931.361435947,0.5229778795126157
7,2029,12864111.310959337,1246340.6877185588,11617770.623240778,1528654.5251989742,2558509.0306495205,0.5974786513889692
7,2030,12243655.424782578,1280043.7036761625,10963611.721106416,1502444.3297190845,2330987.1888383436,0.6445528044569964
8,2024,8920054.151155675,873791.2270086972,8046262.924146977,1001428.1335264116,1864506.2735214175,0.5371009729214024
8,2025,10637446.487520708,1003798.4444293521,9633648.043091355,1515918.307932228,2375694.5124975247,0.6380947971035933
8,2026,9236205.181821775,1050317.5964505004,8185887.5853712745,933871.2321523628,1939540.6957049195,0.48149091907192515
