scenario,year,revenue_yuan,cost_yuan,profit_yuan,excess_jin,production_jin,excess_rate
0,2024,8355752.42560693,873956.818347323,7481795.607259607,947597.1111845751,1763706.6369435017,0.5372759229543741
0,2025,10592071.199588122,1009993.6102607341,9582077.589327388,1503354.5164035475,2365116.4198086765,0.6356365816973862
0,2026,9199831.985734994,1048911.866696872,8150920.119038122,921215.3473544951,1946758.8948816117,0.4732046427405778
0,2027,11608749.323828533,1191032.4339339032,10417716.88989463,1455035.5214169808,2458712.8339337944,0.5917875000835338
0,2028,9879922.343065387,1107830.7597409391,8772091.583324447,992393.632153994,1908211.148590654,0.5200648957988456
0,2029,12137290.370122822,1250947.5160983787,10886342.854024444,1372392.9851978442,2408062.0705845677,0.5699159510720958
0,2030,12657222.410601676,1270864.746184712,11386357.664416963,1535772.2825287904,2418605.6213228186,0.6349825159543059
1,2024,8615391.915207133,871435.1912166951,7743956.723990438,985845.1048191454,1811386.5892172873,0.5442488702785063
1,2025,11217389.433149284,1004929.7835193085,10212459.649629975,1641721.3047169526,2504033.7896645726,0.6556306514285772
1,2026,8989359.348339468,1048373.1894091953,7940986.158930273,856053.0104815431,1835687.2140011503,0.46633925646605645
1,2027,12204951.970576439,1187727.3773350446,11017224.593241394,1588918.2963400825,2555750.7855130793,0.6217031431024679
1,2028,9688656.649088241,1105094.2899648028,8583562.359123439,948552.545885623,1889264.3150430545,0.5020750872881471
1,2029,11862467.294691708,1244081.101747243,10618386.192944465,1356800.6936243253,2338986.549137209,0.5800805883748299
1,2030,12380395.682418685,1277224.9446525315,11103170.737766154,1522213.5906856568,2381301.467383242,0.639235985672315
2,2024,8702357.871349307,874261.0339275931,7828096.837421713,960221.6496173389,1799241.6216059446,0.5336813233345926
2,2025,10921212.992132151,1010315.7770911312,9910897.21504102,1547471.812292867,2411459.574496063,0.641715842413096
2,2026,8808603.2928701,1049210.9230341008,7759392.369836,836506.4245857989,1827612.418938731,0.45770449791074763
2,2027,12536494.225838311,1182215.00362075,11354279.222217562,1627637.2982540391,2647852.2909235037,0.6147009422819278
2,2028,10082812.44546529,1106422.7043549183,8976389.741110373,1030949.495176774,1969679.3118891562,0.5234098205499103
2,2029,12738967.747586457,1247343.0402083425,11491624.707378116,1603389.0514814581,2564414.776652166,0.6252455983640355
2,2030,12890887.84728183,1279689.645192298,11611198.202089533,1564315.526523402,2452900.2080195346,0.6377412017859571
3,2024,8638203.353360252,871373.9528471171,7766829.400513135,948651.9117775122,1800800.3063548927,0.5267946192755459
3,2025,11335076.069401635,1006987.4501382479,10328088.619263386,1631063.5545798484,2488542.191029954,0.6554293354796554
3,2026,9244069.904525392,1049225.2491604805,8194844.655364911,884183.1500976298,1926485.937786468,0.4589616424159088
3,2027,11903907.77004327,1187598.2315553238,10716309.538487947,1459180.5866235595,2444720.23109334,0.5968701727358706
3,2028,9376478.469364338,1109652.8763592602,8266825.593005078,943181.4158340062,1845977.6341345727,0.510938701744448
3,2029,12809355.666241646,1245899.0085061744,11563456.65773547,1566993.7672824187,2571438.9917318495,0.6093839956230334
3,2030,12480596.985196171,1276579.0592573646,11204017.925938807,1550747.4603815384,2404364.005939505,0.6449719994770858
4,2024,9115146.360466417,868610.0926090186,8246536.267857399,1072367.1267276434,1938606.7887176927,0.5531638148430138
4,2025,11314153.205956481,1007440.3279789605,10306712.87797752,1656226.129293616,2517516.2495243642,0.6578810085561623
4,2026,9055318.264390605,1050857.9186321073,8004460.345758498,894290.1282725965,1888367.1246709917,0.47357853067284666
4,2027,12490471.486609964,1180631.2279563495,11309840.258653615,1678630.6738627069,2664208.6275369725,0.6300672764559658
4,2028,9652290.754592884,1103971.3141335058,8548319.440459378,937821.8663033717,1886709.7711682622,0.4970673712696504
4,2029,12394427.765278187,1248403.3334510261,11146024.431827161,1526173.2319679535,2476199.3864537645,0.6163369720213159
4,2030,13096728.981048066,1275385.9345751104,11821343.046472955,1650613.7423359815,2499629.964994035,0.6603432369798464
5,2024,8746574.42303556,871122.3167049113,7875452.106330649,939591.3246673243,1804731.7511641842,0.5206265829042012
5,2025,10353377.967853311,1007591.8600219255,9345786.107831385,1412392.1501179838,2258204.8595153717,0.625449079239469
5,2026,9367763.124068324,1048427.1590059514,8319335.965062372,923513.043463033,1947531.862787228,0.4741966286196411
5,2027,11781576.404308595,1177727.2749999787,10603849.129308617,1465199.5253210384,2498958.141124063,0.5863241569392487
5,2028,9989786.263257591,1104715.706220752,8885070.55703684,1091522.4436602248,1992352.1111956178,0.5478561934542776
5,2029,12410318.885123182,1240694.7978963524,11169624.08722683,1435856.9812994057,2466930.8236212265,0.5820418503635624
5,2030,13387067.476581594,1281240.3703144565,12105827.106267137,1713413.3037758945,2590391.587422387,0.6614495322233713
6,2024,8332986.668961827,870353.8337396426,7462632.835222184,917274.8129650737,1740841.1677698328,0.5269147064922538
6,2025,10498534.579878017,1011078.2381770309,9487456.341700986,1437131.4138441146,2305490.5253926083,0.6233516893761173
6,2026,9382192.045316394,1046520.7798954786,8335671.265420916,941406.700302234,1935999.604911596,0.48626389071253023
6,2027,11297136.456410345,1185162.5799679186,10111973.876442427,1416059.2390287812,2377036.5480693635,0.5957246388066304
