scenario,year,revenue_yuan,cost_yuan,profit_yuan,excess_jin,production_jin,excess_rate
0,2024,8690880.441030946,924892.6787654583,7765987.762265488,982707.0700109799,1856188.815324654,0.5294219326707348
0,2025,10663762.736831054,1059693.870559187,9604068.866271866,1528073.4879711992,2447752.226494129,0.6242762120412126
0,2026,8796649.528961044,983361.825034073,7813287.703926971,965377.259544045,1846420.755991957,0.5228370924726813
0,2027,11261970.607623098,1093579.5570891255,10168391.050533973,1513721.1670135085,2376937.595977568,0.6368367304110721
0,2028,9159572.762549961,1043903.180617694,8115669.581932267,884150.2912133157,1784542.7565429895,0.495449205669966
0,2029,12355766.44804535,1294931.5650769959,11060834.882968355,1618196.9763936596,2560996.6714967024,0.6318621942792101
0,2030,12588953.540732587,1253142.6927528526,11335810.847979734,1520442.1930547147,2391349.7070559985,0.6358092204450256
1,2024,8922842.349350968,921639.452209467,8001202.897141501,1048062.7234551036,1909816.2197116094,0.5487767423052704
1,2025,11268680.120057171,1054303.3898221948,10214376.730234977,1670768.1119457935,2586481.864588804,0.6459616573462463
1,2026,8669006.664330782,982715.1031539582,7686291.561176824,887116.9615440321,1753388.420280978,0.5059443482590542
1,2027,11929375.046662254,1090632.5685159785,10838742.478146276,1663228.6509100737,2497682.3625198635,0.6659087944361646
1,2028,9060324.920510365,1041436.0490923356,8018888.871418029,862332.1253018436,1784488.4495966788,0.48323771750763844
1,2029,12111046.173454724,1288529.9073948893,10822516.266059835,1559931.7172800903,2498029.3359081256,0.6244649311586238
1,2030,12350714.605084268,1259422.4099469155,11091292.195137354,1490251.9236583274,2352526.0605636006,0.6334688268240922
2,2024,9034993.28734699,924433.3652169597,8110559.9221300315,1015302.2761957095,1900173.056740887,0.5343209517648471
2,2025,11014727.989403717,1060461.7200594086,9954266.26934431,1577263.4991730372,2503189.03293956,0.6301016337231296
2,2026,8460359.27460635,984109.8710998634,7476249.403506488,897507.2818664674,1752914.5065343694,0.5120085882801553
2,2027,12226444.94861474,1084590.1590582405,11141854.7895565,1699925.7001327411,2578390.494984446,0.6592972257070765
2,2028,9343176.273588417,1042902.9672461076,8300273.306342309,915594.7031308771,1840613.6191310089,0.4974399263454043
2,2029,13096620.244458174,1290598.924534622,11806021.319923552,1808147.6093340016,2727626.92176802,0.6629013648838672
2,2030,12856414.623660816,1262021.261625786,11594393.36203503,1540474.7602266173,2426655.54667364,0.6348139365466339
3,2024,8980794.211672792,921849.2271366952,8058944.984536097,993974.8107018654,1900425.4589177563,0.5230275178842893
3,2025,11412266.58552655,1057551.386615643,10354715.198910907,1659235.3701195682,2572635.331686621,0.644955524664964
3,2026,8851135.62056231,983201.1102393682,7867934.5103229415,947831.8999697356,1840220.8587050291,0.5150642084541573
3,2027,11601362.866873978,1090510.0036703546,10510852.863203622,1526127.692874824,2373670.7839050363,0.6429399153509066
3,2028,8729824.141094299,1045731.0773206571,7684093.063773642,858770.6355780477,1739197.0594531284,0.49377419936995454
