scenario,year,revenue_yuan,cost_yuan,profit_yuan,excess_jin,production_jin,excess_rate
0,2024,8684133.193467073,924736.032502433,7759397.16096464,985597.3750104248,1856188.815324654,0.5309790506619555
0,2025,10666599.017410738,1059241.8120343157,9607357.205376422,1527864.5350212236,2447752.226494129,0.6241908468037863
0,2026,8801955.208805976,982780.6345177563,7819174.57428822,962657.0387979031,1846420.755991957,0.5213638525638934
0,2027,11291516.651966814,1093098.169902403,10198418.482064411,1512741.6801685812,2376937.595977568,0.6364246510840487
0,2028,9169713.690548528,1043919.031887464,8125794.658661064,884915.7462261448,1784542.7565429895,0.4958781418834709
0,2029,12356098.687367143,1295421.748293614,11060676.93907353,1618634.173799384,2560996.6714967024,0.6320329080527148
0,2030,12581601.93127696,1252948.7533625881,11328653.177914372,1519873.2996779156,2391349.7070559985,0.6355713240908786
1,2024,8913106.354767565,922032.5292145627,7991073.825553002,1052212.2280995674,1909816.2197116094,0.5509494668855918
1,2025,11292881.841014056,1053848.1288501115,10239033.712163944,1669240.4020655258,2586481.864588804,0.6453710056578725
1,2026,8659739.006450191,983291.7290983318,7676447.277351859,888208.1763163869,1753388.420280978,0.5065666945456687
1,2027,11921409.77953422,1090774.6018356984,10830635.177698523,1663081.8857627437,2497682.3625198635,0.6658500339029869
1,2028,9058220.377505453,1041399.5330974729,8016820.84440798,862369.2301691117,1784488.4495966788,0.483258510507042
1,2029,12092783.272035241,1290102.735297265,10802680.536737977,1561420.16577642,2498029.3359081256,0.6250607802445147
1,2030,12348448.88259487,1260014.6166095606,11088434.26598531,1491675.9391965775,2352526.0605636006,0.6340741402198167
2,2024,9026980.058788797,924415.121988496,8102564.936800301,1017561.7072425176,1900173.056740887,0.5355100176969172
2,2025,11024282.761950243,1059515.9430292875,9964766.818920955,1569865.7036069592,2503189.03293956,0.6271462853779864
2,2026,8454270.009069163,985149.4201283775,7469120.588940786,903664.4847716279,1752914.5065343694,0.5155211400231
2,2027,12212701.661546448,1084373.6581759346,11128328.003370514,1699400.9993378806,2578390.494984446,0.6590937263551043
2,2028,9348191.802352542,1042546.9184588237,8305644.883893718,915550.0737095127,1840613.6191310089,0.49741567931120845
2,2029,13113255.116220148,1290869.6541682659,11822385.462051883,1807937.587866175,2727626.92176802,0.6628243670121456
2,2030,12828399.439771377,1262106.5268029217,11566292.912968455,1541675.0100025993,2426655.54667364,0.6353085472373136
3,2024,8984152.819753412,921977.2831312352,8062175.536622177,991411.9619635488,1900425.4589177563,0.5216789521058787
3,2025,11420613.521305772,1057343.2422056366,10363270.279100135,1658716.988242624,2572635.331686621,0.644754026275138
3,2026,8847577.078468421,983190.4615714056,7864386.616897016,948693.0675638854,1840220.8587050291,0.5155321781492491
